carrier,lat,lon
La Poste,48.775196,2.377838
La Poste,48.58805,1.577228
La Poste,47.422853,6.069631
La Poste,45.171396,5.757171
La Poste,50.369861,3.473375
La Poste,43.681863,1.317832
La Poste,48.899327,2.87332
La Poste,48.633143,2.55076
La Poste,46.822366,-0.669471
La Poste,45.2482331,5.82610289
La Poste,43.87897,7.44697
La Poste,49.2964807,2.59766944
La Poste,47.473987,-1.762232
La Poste,47.249499,-1.484463
La Poste,45.742073,4.818143
La Poste,47.502696,-0.585674
La Poste,44.60667,-0.940654
La Poste,49.025012,3.019021
La Poste,42.43331,1.94559
La Poste,49.260595,6.143089
La Poste,45.558751,5.962193
La Poste,47.206197,-1.53277
La Poste,43.6013,6.996279
La Poste,49.47015,5.931101
La Poste,49.380998,1.105419
La Poste,47.816407,6.380823
La Poste,46.1466,-1.1527
La Poste,43.687166,7.101808
La Poste,43.664922,1.50555056
La Poste,47.142096,-1.692368
La Poste,49.2981289,6.19852286
La Poste,49.5437,0.191305
La Poste,45.7356,4.804898
La Poste,43.375576,-0.379856
La Poste,48.937492,7.881689
La Poste,49.140192,-0.35476
La Poste,46.263775,4.886734
La Poste,43.589594,5.124268
La Poste,47.888643,1.838158
La Poste,44.641294,-0.974765
La Poste,45.027395,-0.80021
La Poste,45.619631,4.67275
La Poste,48.435693,-4.398112
La Poste,47.660552,-2.452228
La Poste,47.099044,2.481056
La Poste,48.550259,7.711025
La Poste,49.297998,1.009286
La Poste,49.325086,6.123985
La Poste,47.350892,0.663925
La Poste,47.409722,0.669316
La Poste,47.410491,0.684693
La Poste,45.586398,5.273846
La Poste,45.150098,5.718154
La Poste,45.1822,5.7322
La Poste,45.620095,5.222309
La Poste,45.210296,5.777808
La Poste,45.233394,5.677958
La Poste,45.1807,5.697208
La Poste,45.566009,5.448941
La Poste,45.521495,4.873168
La Poste,45.6098,5.157509
La Poste,44.897493,6.633699
La Poste,45.3678917,5.58947126
La Poste,45.187796,5.712611
La Poste,45.163997,5.727749
La Poste,45.190598,5.729691
La Poste,43.5815339,7.1235226
La Poste,46.35689,6.142471
La Poste,43.654952,7.157397
La Poste,43.545398,-1.103267
La Poste,43.552029,7.0186822
La Poste,43.723188,-1.053762
La Poste,47.59346,1.311689
La Poste,47.358118,1.744154
La Poste,43.6572,6.923
